epoch	train_ppl	valid_ppl
1	1.51	148.14
2	1.48	114.65
3	1.47	100.07
4	1.46	93.79
5	1.45	88.04
6	1.45	84.37
7	1.44	81.7
8	1.44	79.57
9	1.44	78.07
10	1.43	76.6
11	1.43	75.66
12	1.43	74.38
13	1.43	73.58
14	1.43	72.86
15	1.43	72.32
16	1.43	71.57
17	1.42	71.08
18	1.42	70.64
19	1.42	70.09
20	1.42	69.67
21	1.42	69.57
22	1.42	69.15
23	1.42	68.6
24	1.42	68.43
25	1.42	68.51
26	1.41	65.97
27	1.4	65.57
28	1.4	65.27
29	1.4	64.97
30	1.4	64.76
test_ppl	63.45
