epoch	train_ppl	valid_ppl
1	1.48	125.16
2	1.44	91.28
3	1.42	78.94
4	1.4	72.47
5	1.39	68.79
6	1.38	66.61
7	1.38	65.03
8	1.37	64.44
9	1.37	63.54
10	1.36	63.29
11	1.36	63.0
12	1.36	63.0
13	1.33	60.21
14	1.33	59.99
15	1.33	59.81
16	1.33	59.93
17	1.32	59.51
18	1.32	59.45
19	1.32	59.39
20	1.32	59.35
21	1.32	59.38
22	1.31	59.26
23	1.31	59.22
24	1.31	59.23
25	1.31	59.2
26	1.31	59.2
27	1.31	59.19
28	1.31	59.19
29	1.31	59.18
30	1.31	59.18
test_ppl	58.22
