epoch	train_ppl	valid_ppl
1	1.49	132.39
2	1.45	94.77
3	1.43	81.5
4	1.41	74.58
5	1.4	70.46
6	1.4	67.85
7	1.39	65.64
8	1.39	64.24
9	1.38	63.01
10	1.38	62.39
11	1.38	62.04
12	1.37	61.38
13	1.37	61.29
14	1.37	61.04
15	1.37	61.15
16	1.35	58.1
17	1.35	57.71
18	1.34	57.57
19	1.34	57.48
20	1.34	57.41
21	1.34	57.32
22	1.34	57.33
23	1.34	56.92
24	1.33	56.81
25	1.33	56.79
26	1.33	56.73
27	1.33	56.75
28	1.33	56.62
29	1.33	56.6
30	1.33	56.62
test_ppl	55.74
