epoch	train_ppl	valid_ppl
1	1.49	136.81
2	1.46	100.42
3	1.44	85.99
4	1.43	78.7
5	1.42	74.09
6	1.41	70.88
7	1.41	68.63
8	1.4	66.51
9	1.4	65.28
10	1.4	64.29
11	1.39	63.54
12	1.39	62.8
13	1.39	62.34
14	1.39	61.65
15	1.38	61.38
16	1.38	60.97
17	1.38	60.58
18	1.38	60.59
19	1.36	58.14
20	1.36	57.74
21	1.36	57.47
22	1.36	57.3
23	1.36	57.24
24	1.36	57.09
25	1.36	56.97
26	1.36	56.89
27	1.36	56.86
28	1.36	56.82
29	1.36	56.63
30	1.36	56.66
test_ppl	55.5
