epoch	train_ppl	valid_ppl
1	1.47	124.23
2	1.43	89.81
3	1.4	78.88
4	1.38	74.46
5	1.37	74.17
6	1.36	74.35
7	1.31	70.69
8	1.3	72.34
9	1.29	71.98
10	1.28	71.6
11	1.28	71.29
12	1.28	71.2
13	1.28	71.18
14	1.28	71.17
15	1.28	71.17
16	1.28	71.17
17	1.28	71.17
18	1.28	71.17
19	1.28	71.17
20	1.28	71.17
21	1.28	71.17
22	1.28	71.17
23	1.28	71.17
24	1.28	71.17
25	1.28	71.17
26	1.28	71.17
27	1.28	71.17
28	1.28	71.17
29	1.28	71.17
30	1.28	71.17
test_ppl	69.17
