epoch	train_ppl	valid_ppl
1	1.5	139.81
2	1.47	105.84
3	1.45	91.77
4	1.44	84.43
5	1.43	79.49
6	1.43	76.08
7	1.42	73.98
8	1.42	71.72
9	1.42	70.18
10	1.41	69.08
11	1.41	67.69
12	1.41	66.91
13	1.41	66.25
14	1.41	65.68
15	1.4	65.01
16	1.4	64.58
17	1.4	64.35
18	1.4	63.82
19	1.4	63.72
20	1.4	63.46
21	1.4	63.26
22	1.4	62.88
23	1.4	62.66
24	1.4	62.73
25	1.38	60.23
26	1.38	59.82
27	1.38	59.49
28	1.38	59.29
29	1.38	59.19
30	1.38	59.07
test_ppl	57.9
